id,rsquared,residual_demand_coeff,residual_demand_std,solar_coeff,solar_std,solar_sig,wind_coeff,wind_std,wind_sig,wramp_coeff,wramp_std,wramp_sig,PSTATABB,BACODE,ISORTO,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,CHPFLAG,PLNGENAN,PLNOXAN,PLSO2AN,PLCO2AN,PLHTRT,NOXEI,SO2EI,CO2EI,Unit Type,dependent_var,Unit Category
335,0.649,1.35,0.061,0.024,0.014,0.09,-0.118,0.011,0.0,0.04,0.007,0.0,CA,CISO,CAISO,33.6439,-117.9792,NG,GAS,0.01201,1021.0,,107419.0,29.994,2.8,562100.0,88052.340601,0.0002792243457861272,2.6066152170472635e-05,5.232780048222382,Combined cycle,Generation,Gas - combined cycle
358,0.298,1.423,0.094,-0.065,0.022,0.003,-0.064,0.018,0.0,0.012,0.011,0.298,CA,CISO,CAISO,34.0818,-117.2418,NG,GAS,0.28034,1167.4,,2866899.99,68.216,6.4,1270879.562,7459.238725,2.3794342403970634e-05,2.2323764422629892e-06,0.4432939992441103,Combined cycle,Generation,Gas - combined cycle
50865,0.269,-0.05,0.007,-0.007,0.002,0.001,0.018,0.001,0.0,-0.003,0.001,0.001,CA,CISO,CAISO,35.9515,-120.8679,NG,GAS,0.74714,38.9,Yes,254600.0,8.316,0.478,94909.293,6272.631523,3.266300078554596e-05,1.8774548311076197e-06,0.3727780557737628,Combustion turbine,Generation,Gas - combustion turbine
55182,0.231,0.294,0.071,-0.073,0.013,0.0,-0.065,0.012,0.0,0.012,0.007,0.093,CA,CISO,CAISO,35.2097,-119.585,NG,GAS,0.49447,685.2,,2968009.0,57.901,6.2,1237093.188,7013.624622,1.9508364024502623e-05,2.088942452667765e-06,0.4168091094063394,Combined cycle,Generation,Gas - combined cycle
55217,0.289,0.644,0.029,-0.007,0.007,0.316,-0.037,0.006,0.0,0.006,0.003,0.077,CA,CISO,CAISO,38.030071,-121.873004,NG,GAS,0.50085,678.3,Yes,2976024.0,73.012,5.91,1170915.613,6620.543527,2.453340430050295e-05,1.9858710816848252e-06,0.3934496539678443,Combined cycle,Generation,Gas - combined cycle
55295,0.278,0.558,0.054,-0.028,0.012,0.023,-0.053,0.01,0.0,0.017,0.006,0.009,CA,CISO,CAISO,33.6157,-114.6865,NG,GAS,0.36404,591.0,,1884690.0,55.697,4.2,842948.406,7526.020725,2.955234017265439e-05,2.2284831988284547e-06,0.4472610381548159,Combined cycle,Generation,Gas - combined cycle
55333,0.255,1.115,0.068,0.0,0.015,0.988,-0.069,0.012,0.0,0.007,0.007,0.352,CA,CISO,CAISO,38.0169,-121.8439,NG,GAS,0.46705,943.5,,3860213.0,121.232,8.2,1632335.469,7115.488187,3.140552088705986e-05,2.1242351134509935e-06,0.42286150246113363,Combined cycle,Generation,Gas - combined cycle
55393,0.282,0.88,0.062,-0.022,0.014,0.105,-0.058,0.011,0.0,-0.01,0.007,0.141,CA,CISO,CAISO,37.2207,-121.7457,NG,GAS,0.42866,635.0,,2384442.0,66.44,5.3,1047420.406,7391.599796,2.7863961463520606e-05,2.2227422600340036e-06,0.43927275479965544,Combined cycle,Generation,Gas - combined cycle
55400,0.21,0.022,0.019,-0.033,0.005,0.0,-0.031,0.004,0.0,0.005,0.002,0.037,CA,CISO,CAISO,35.280318,-119.470707,NG,GAS,0.61818,623.0,Yes,3373700.0,69.93,7.252,1441790.013,7190.644288,2.072798411239885e-05,2.149568722767288e-06,0.4273616542668287,Combined cycle,Generation,Gas - combined cycle
55656,0.323,1.077,0.082,-0.067,0.02,0.001,-0.111,0.016,0.0,0.029,0.01,0.004,CA,CISO,CAISO,34.9556,-118.844,NG,GAS,0.63617,779.0,,4341226.0,110.496,10.0,1991171.312,7717.914018,2.545271773457544e-05,2.3034967541427237e-06,0.45866566541341086,Combined cycle,Generation,Gas - combined cycle
55985,0.201,0.959,0.061,-0.028,0.013,0.034,-0.079,0.011,0.0,0.025,0.007,0.0,CA,CISO,CAISO,33.1197,-117.117778,NG,GAS,0.4144,559.0,,2029259.0,45.711,4.3,866860.594,7188.133698,2.252595651910377e-05,2.1190000882095384e-06,0.42718085468636585,Combined cycle,Generation,Gas - combined cycle
56026,0.159,0.217,0.055,0.001,0.012,0.941,-0.047,0.01,0.0,0.0,0.006,0.99,CA,CISO,CAISO,37.3767,-121.9508,NG,GAS,0.34792,154.0,,469352.0,12.177,1.2,228570.898,8194.623651,2.5944280625202405e-05,2.556716494230343e-06,0.4869924875147011,Combined cycle,Generation,Gas - combined cycle
56041,0.365,0.47,0.025,-0.002,0.006,0.793,-0.021,0.005,0.0,-0.003,0.003,0.399,CA,CISO,CAISO,33.9986,-118.2219,NG,GAS,0.5319,130.0,,605732.0,19.289,1.6,302156.891,8393.541203,3.1844115879629936e-05,2.6414321845304524e-06,0.4988293354156624,Combined cycle,Generation,Gas - combined cycle
56476,0.136,0.281,0.052,0.006,0.011,0.571,-0.038,0.009,0.0,0.007,0.006,0.179,CA,CISO,CAISO,38.0175,-121.7587,NG,GAS,0.52598,619.7,,2855300.0,68.869,6.3,1259066.5,7419.908241,2.4119707211151193e-05,2.206423142927188e-06,0.44095769271179913,Combined cycle,Generation,Gas - combined cycle
56803,0.185,0.847,0.15,-0.165,0.03,0.0,-0.073,0.028,0.009,0.006,0.015,0.721,CA,CISO,CAISO,36.6514,-120.5833,NG,GAS,0.14718,432.0,,556992.0,28.689,1.6,308212.5,9311.299803,5.150702344019304e-05,2.8725726760887053e-06,0.5533517537056187,Combustion turbine,Generation,Gas - combustion turbine
10349,0.121,0.391,0.14,0.012,0.033,0.717,-0.035,0.027,0.19,0.011,0.015,0.493,CA,CISO,CAISO,39.1365,-121.6397,NG,GAS,0.17577,49.5,Yes,76217.0,13.906,0.15,28903.897,6380.893641,0.00018245273364210084,1.9680648674180302e-06,0.37923162811446265,Combustion turbine,Generation,Gas - combustion turbine
260,0.251,1.197,0.077,-0.086,0.019,0.0,-0.059,0.015,0.0,0.021,0.009,0.022,CA,CISO,CAISO,36.804837,-121.782241,NG,GAS,0.19221,3102.0,,5223032.0,178.035,11.6,2185318.125,7384.056425,3.408652292384959e-05,2.2209322094905795e-06,0.41840029412035,Combined cycle,Generation,Gas - combined cycle
55518,0.176,0.561,0.078,-0.038,0.018,0.034,-0.049,0.016,0.002,0.022,0.009,0.017,CA,CISO,CAISO,34.5953,-117.3647,NG,GAS,0.40953,852.0,,3056550.0,101.736,7.1,1408691.906,7755.147634,3.328458556215341e-05,2.322880371660859e-06,0.4608764476288626,Combined cycle,Generation,Gas - combined cycle
57978,0.135,0.269,0.047,-0.011,0.01,0.245,0.013,0.009,0.135,-0.008,0.005,0.145,CA,CISO,CAISO,38.088056,-121.3875,NG,GAS,0.279,288.9,,706090.0,17.477,1.5,301036.406,7174.013936,2.4751802178192582e-05,2.1243750796640656e-06,0.426342825985356,Combined cycle,Generation,Gas - combined cycle
55077,0.231,0.374,0.083,-0.065,0.017,0.0,-0.061,0.016,0.0,0.034,0.009,0.0,NV,CISO,CAISO,35.788889,-114.994167,NG,GAS,0.21698,537.3,,1021280.0,57.031,2.4,477014.094,7859.418328,5.5842668024439915e-05,2.3499921666927778e-06,0.4670747434591885,Combined cycle,Generation,Gas - combined cycle
55847,0.132,0.274,0.184,0.126,0.044,0.004,0.012,0.03,0.693,-0.005,0.017,0.79,CA,CISO,CAISO,39.109344,-121.60931,NG,GAS,0.07129,47.0,,29351.0,20.645,0.1,20184.6,11571.612764,0.0007033831896698579,3.4070389424551123e-06,0.6876971823787945,Combustion turbine,Generation,Gas - combustion turbine
55933,0.239,1.106,0.096,-0.031,0.02,0.124,-0.099,0.017,0.0,0.007,0.011,0.521,CA,CISO,CAISO,37.7107,-121.4906,NG,GAS,0.23867,336.1,,702698.0,29.272,1.8,347113.0,8312.00103,4.165658647100176e-05,2.561555604256736e-06,0.49397180581131583,Combined cycle,Generation,Gas - combined cycle
57564,0.198,0.729,0.103,-0.079,0.02,0.0,-0.009,0.019,0.64,-0.005,0.011,0.627,CA,CISO,CAISO,36.6842,-119.5522,NG,GAS,0.11226,74.0,Yes,72771.0,4.182,0.2,31900.4,7376.269393,5.746794739662778e-05,2.748347556031936e-06,0.4383669318822058,Combined cycle,Generation,Gas - combined cycle
56143,0.17,1.876,0.218,0.282,0.053,0.0,-0.061,0.044,0.165,0.019,0.025,0.443,CA,CISO,CAISO,33.9636,-117.4528,NG,GAS,0.05867,196.0,,100731.0,5.755,0.4,62271.299,10401.968951,5.713236243063208e-05,3.970972193267217e-06,0.6181939919190715,Combustion turbine,Generation,Gas - combustion turbine
56232,0.042,0.333,0.207,-0.023,0.048,0.624,-0.08,0.042,0.055,-0.033,0.024,0.162,CA,CISO,CAISO,32.8769,-117.166389,NG,GAS,0.08535,106.0,,79253.0,6.208,0.3,48449.9,10286.936693,7.833141963080262e-05,3.785345665148322e-06,0.6113320631395657,Combustion turbine,Generation,Gas - combustion turbine
56473,0.045,0.307,0.302,0.019,0.078,0.803,-0.016,0.056,0.779,-0.009,0.031,0.759,CA,CISO,CAISO,34.0053,-117.5604,NG,GAS,0.04642,49.8,,20251.0,1.47,0.1,12393.0,10298.078644,7.258900795022467e-05,4.938027751715965e-06,0.6119697792701595,Combustion turbine,Generation,Gas - combustion turbine
56474,0.047,0.351,0.237,0.141,0.05,0.005,-0.039,0.045,0.392,-0.029,0.027,0.283,CA,CISO,CAISO,33.8073,-117.9832,NG,GAS,0.10169,49.8,,44364.0,1.628,0.1,26429.301,10024.227132,3.6696420521143266e-05,2.25407988459111e-06,0.595737557479037,Combustion turbine,Generation,Gas - combustion turbine
57482,0.196,0.988,0.161,-0.055,0.037,0.137,-0.045,0.032,0.157,0.011,0.019,0.575,CA,CISO,CAISO,33.934167,-116.571388,NG,GAS,0.08679,800.0,,608226.0,32.684,1.8,354436.297,9805.60875,5.3736604485832566e-05,2.9594262658945852e-06,0.5827378260712301,Combustion turbine,Generation,Gas - combustion turbine
57483,0.237,1.838,0.216,-0.038,0.042,0.37,-0.057,0.038,0.137,0.002,0.023,0.942,CA,CISO,CAISO,37.789167,-121.601944,NG,GAS,0.05965,199.6,,104297.0,7.715,0.4,67954.001,10963.7148,7.397144692560669e-05,3.835201396013308e-06,0.6515431987497243,Combustion turbine,Generation,Gas - combustion turbine
315,0.478,2.729,0.074,0.001,0.014,0.934,-0.232,0.012,0.0,0.067,0.008,0.0,CA,CISO,CAISO,33.7688,-118.1009,NG,GAS,0.03023,2055.0,,544278.0,68.49,4.6,901172.891,27860.602257,0.00012583642917773637,8.451563355491126e-06,1.655721691856,Combined cycle,Generation,Gas - combined cycle
56532,0.311,0.675,0.07,-0.017,0.014,0.232,-0.042,0.012,0.001,0.002,0.007,0.74,CA,CISO,CAISO,39.3661,-122.27,NG,GAS,0.48676,712.4,,3037655.0,47.755,6.5,1298805.25,7194.657392,1.5721008475287682e-05,2.139808503598993e-06,0.4275683874567717,Combined cycle,Generation,Gas - combined cycle
57555,0.06,1.775,0.313,0.061,0.074,0.412,-0.094,0.057,0.098,-0.017,0.034,0.608,CA,CISO,CAISO,32.573889,-116.917777,NG,GAS,0.02943,395.4,,101952.999,6.093,0.3,59839.0,9876.072185,5.9762832479307455e-05,2.9425323721963294e-06,0.5869273153995206,Combustion turbine,Generation,Gas - combustion turbine
57515,0.12,1.154,0.218,-0.104,0.049,0.034,-0.07,0.045,0.118,0.001,0.026,0.959,CA,CISO,CAISO,34.008709,-117.944864,NG,GAS,0.09576,500.0,,419440.0,22.874,1.2,237430.602,9525.039934,5.4534617585351894e-05,2.860957467098989e-06,0.5660657114247568,Combustion turbine,Generation,Gas - combustion turbine
56472,0.143,-0.334,0.344,0.225,0.062,0.0,-0.032,0.064,0.615,0.051,0.034,0.132,CA,CISO,CAISO,34.0903,-117.5343,NG,GAS,0.03347,59.8,,17531.0,1.833,0.1,11858.9,11383.320974,0.00010455764075067024,5.704181164793794e-06,0.6764531401517312,Combustion turbine,Generation,Gas - combustion turbine
57027,0.133,1.31,0.216,-0.178,0.046,0.0,-0.119,0.044,0.006,0.034,0.025,0.183,CA,CISO,CAISO,33.858056,-117.861667,NG,GAS,0.06345,200.0,,111171.0,5.499,0.4,69598.0,10533.973001,4.9464338721429146e-05,3.598060645312177e-06,0.6260445619810922,Combustion turbine,Generation,Gas - combustion turbine
356,0.431,3.649,0.195,0.055,0.048,0.247,-0.124,0.039,0.001,-0.02,0.023,0.369,CA,CISO,CAISO,33.8504,-118.395,NG,GAS,0.02663,1316.4,,307081.0,19.615,1.3,264167.605,14476.377975,6.387565495748679e-05,4.233410728765375e-06,0.8602538255378873,Dry bottom wall-fired boiler,Generation,Gas - Other
422,0.085,1.052,0.136,0.099,0.026,0.0,-0.109,0.029,0.0,-0.043,0.016,0.009,CA,CISO,CAISO,34.126,-118.1494,NG,GAS,0.02527,265.6,,58789.0,5.485,0.1,32911.8,9420.156194,9.329976696320741e-05,1.7009984861113475e-06,0.5598292197519945,Combined cycle,Generation,Gas - combined cycle
55963,0.096,1.284,0.251,0.083,0.058,0.152,-0.133,0.048,0.005,-0.021,0.029,0.476,CA,CISO,CAISO,38.014423,-121.790679,NG,GAS,0.05251,47.0,,21620.0,2.019,0.1,15079.2,11736.612512,9.338575393154487e-05,4.625346901017577e-06,0.6974653098982424,Combustion turbine,Generation,Gas - combustion turbine
56467,0.286,0.964,0.138,-0.041,0.029,0.147,-0.047,0.024,0.05,0.002,0.015,0.9,CA,CISO,CAISO,37.63466,-122.13381,NG,GAS,0.19031,655.0,,1091956.0,29.862,2.4,473379.703,7294.784085,2.7347255750231693e-05,2.1978907575030495e-06,0.4335153641721827,Combined cycle,Generation,Gas - combined cycle
350,0.52,3.361,0.201,-0.034,0.043,0.428,-0.165,0.033,0.0,0.017,0.021,0.424,CA,CISO,CAISO,34.1292,-119.1689,NG,GAS,0.05146,1612.0,,726691.0,27.669,2.2,429541.688,9946.279437,3.807533050498768e-05,3.027421558819361e-06,0.5910926212103907,Dry bottom wall-fired boiler,Generation,Gas - Other
55151,0.375,2.675,0.154,-0.089,0.026,0.001,-0.173,0.025,0.0,0.028,0.015,0.068,CA,CISO,CAISO,35.2956,-119.5919,NG,GAS,0.15286,1200.0,,1606855.0,45.608,3.6,732593.898,7671.579732,2.8383394892507412e-05,2.240401280762732e-06,0.4559178631550451,Combined cycle,Generation,Gas - combined cycle
56475,0.104,-0.246,0.329,0.256,0.064,0.0,-0.099,0.061,0.107,-0.025,0.034,0.459,CA,CISO,CAISO,33.9296,-118.1046,NG,GAS,0.03833,59.8,,20077.0,1.241,0.1,13767.4,11538.85743,6.181202370872143e-05,4.980823828261195e-06,0.6857299397320317,Combustion turbine,Generation,Gas - combustion turbine
10294,0.355,1.447,0.215,0.055,0.057,0.341,0.093,0.036,0.011,-0.042,0.02,0.038,CA,CISO,CAISO,36.225,-121.1278,NG,GAS,0.05275,133.2,Yes,61552.0,9.302,0.167,31375.987,8577.113244,0.00015112425266441382,2.7131531063166104e-06,0.509747644268261,Combined cycle,Generation,Gas - combined cycle
55499,0.115,0.772,0.28,-0.114,0.071,0.107,-0.06,0.051,0.238,-0.015,0.028,0.589,CA,CISO,CAISO,38.398867,-121.923973,NG,GAS,0.0324,60.5,,17169.0,1.238,0.1,10726.3,10729.08294,7.210670394315335e-05,5.824451045488963e-06,0.6247480924922826,Combustion turbine,Generation,Gas - combustion turbine
55508,0.105,1.083,0.269,0.041,0.061,0.502,-0.004,0.054,0.937,-0.013,0.028,0.633,CA,CISO,CAISO,36.6535,-120.5783,NG,GAS,0.02225,117.2,,22841.0,1.217,0.1,12249.0,9138.318977,5.328137997460707e-05,4.378092027494418e-06,0.5362724924477913,Combustion turbine,Generation,Gas - combustion turbine
55542,0.06,1.056,0.303,0.153,0.07,0.028,0.053,0.064,0.41,-0.037,0.036,0.296,CA,CISO,CAISO,32.567041,-116.944197,NG,GAS,0.03933,99.8,,34385.0,3.24,0.1,20792.8,10176.086048,9.422713392467646e-05,2.9082448742184095e-06,0.6047055402064854,Combustion turbine,Generation,Gas - combustion turbine
56639,0.137,0.934,0.292,-0.249,0.069,0.0,-0.032,0.066,0.63,-0.021,0.035,0.554,CA,CISO,CAISO,36.654114,-120.579727,NG,GAS,0.02491,139.8,,30509.0,2.566,0.2,20710.7,11422.148485,8.410632927988462e-05,6.555442656265365e-06,0.6788390311055754,Combustion turbine,Generation,Gas - combustion turbine
58122,0.109,0.791,0.39,0.052,0.077,0.501,-0.132,0.077,0.087,0.028,0.04,0.476,CA,CISO,CAISO,35.790864,-119.294469,NG,GAS,0.01167,60.5,,6186.0,0.323,0.0,4389.9,11942.342083,5.221467830585193e-05,0.0,0.709650824442289,Combustion turbine,Generation,Gas - combustion turbine
55855,0.114,0.355,0.278,0.156,0.077,0.043,-0.02,0.063,0.755,-0.04,0.034,0.248,CA,CISO,CAISO,38.228522,-122.07525,NG,GAS,0.02153,47.0,,8863.0,0.908,0.0,6373.0,12099.628547,0.00010244838090939863,0.0,0.7190567527925081,Combustion turbine,Generation,Gas - combustion turbine
10034,0.14,1.025,0.218,-0.024,0.048,0.621,0.015,0.04,0.71,0.003,0.024,0.915,CA,CISO,CAISO,37.0001,-121.5367,NG,GAS,0.09437,130.0,Yes,107472.0,12.304,0.244,45418.618,7111.887868,0.00011448563346732173,2.270358791126991e-06,0.4226088469554861,Combined cycle,Generation,Gas - combined cycle
55345,0.225,1.161,0.098,-0.06,0.028,0.03,-0.078,0.019,0.0,0.01,0.012,0.39,CA,CISO,CAISO,32.581481,-116.914969,NG,GAS,0.34946,688.5,,2107684.0,44.559,4.6,908171.812,7250.449783,2.1141214717196693e-05,2.1824903543415425e-06,0.43088613473366977,Combined cycle,Generation,Gas - combined cycle
55510,0.052,0.563,0.31,0.034,0.125,0.785,-0.044,0.052,0.401,-0.009,0.031,0.77,CA,CISO,CAISO,32.562448,-116.943869,NG,GAS,0.03137,60.5,,16625.0,0.956,0.1,10492.6,10743.074248,5.7503759398496236e-05,6.015037593984962e-06,0.6311338345864662,Combustion turbine,Generation,Gas - combustion turbine
55513,0.081,0.707,0.298,0.108,0.092,0.238,0.024,0.055,0.671,-0.027,0.032,0.411,CA,CISO,CAISO,33.121943,-117.117441,NG,GAS,0.03059,58.9,,15784.0,1.243,0.1,10150.8,10991.255979,7.875063355296503e-05,6.335529650278764e-06,0.6431069437404967,Combustion turbine,Generation,Gas - combustion turbine
55538,0.096,1.22,0.224,0.072,0.075,0.338,0.01,0.05,0.839,-0.028,0.028,0.311,CA,CISO,CAISO,33.1261,-117.1172,NG,GAS,0.01494,98.0,,12827.0,0.903,0.0,8034.3,10540.582122,7.039837842051922e-05,0.0,0.6263584626179154,Combustion turbine,Generation,Gas - combustion turbine
55748,0.378,1.345,0.137,-0.143,0.027,0.0,-0.086,0.023,0.0,0.014,0.013,0.297,CA,CISO,CAISO,37.425,-121.9319,NG,GAS,0.10188,306.1,,273196.0,6.745,0.8,142075.9,8750.657266,2.468923410298833e-05,2.9283005607695577e-06,0.5200511720522994,Combined cycle,Generation,Gas - combined cycle
56471,0.083,0.442,0.279,-0.011,0.051,0.831,-0.041,0.055,0.457,0.001,0.031,0.966,CA,CISO,CAISO,34.205556,-119.246944,NG,GAS,0.05093,49.8,,22220.0,1.278,0.1,13233.6,10020.986864,5.751575157515752e-05,4.500450045004501e-06,0.5955715571557156,Combustion turbine,Generation,Gas - combustion turbine
56914,0.093,0.682,0.338,0.125,0.089,0.16,-0.076,0.07,0.274,0.001,0.037,0.979,CA,CISO,CAISO,33.3594,-117.1114,NG,GAS,0.01714,118.0,,17719.0,1.098,0.0,11735.0,11143.820281,6.196737964896439e-05,0.0,0.6622834245724928,Combustion turbine,Generation,Gas - combustion turbine
57001,0.136,0.809,0.289,0.306,0.086,0.0,-0.05,0.064,0.436,-0.008,0.034,0.802,CA,CISO,CAISO,32.796106,-116.972073,NG,GAS,0.01199,60.5,,6355.0,0.74,0.0,4276.7,11322.45771,0.00011644374508261211,0.0,0.6729661683713611,Combustion turbine,Generation,Gas - combustion turbine
55540,0.161,1.847,0.777,-0.089,0.15,0.552,-0.089,0.114,0.434,-0.001,0.062,0.989,CA,CISO,CAISO,32.591667,-117.058611,NG,GAS,0.00736,37.2,,2399.0,0.287,0.0,2703.8,18965.46494,0.00011963318049187161,0.0,1.1270529387244685,Combustion turbine,Generation,Gas - combustion turbine
55541,0.088,2.395,0.358,0.099,0.086,0.25,0.057,0.082,0.486,-0.016,0.044,0.718,CA,CISO,CAISO,33.910873,-116.552994,NG,GAS,0.03098,149.7,,40629.0,4.563,0.1,25984.6,10760.810282,0.00011230894188879864,2.4612961185360212e-06,0.6395579512171109,Combustion turbine,Generation,Gas - combustion turbine
